"id","symbol","price_date","open_price","high_price","low_price","close_price","volume"
1471007,"URTH","2022-12-30","103.7818","104.1248","103.2578","104.0771","369200"
1470978,"URTH","2022-12-29","103.7246","104.7630","103.5436","104.5439","463300"
1470949,"URTH","2022-12-28","104.1248","104.4201","102.7529","102.7625","316300"
1470923,"URTH","2022-12-27","104.3439","104.7249","103.5913","104.0104","572300"
1470894,"URTH","2022-12-23","103.4960","104.2581","103.1149","104.2581","266700"
1470865,"URTH","2022-12-22","104.3439","104.3724","102.3338","103.7342","490000"
1470836,"URTH","2022-12-21","104.2867","105.3156","104.1819","105.0393","613700"
1470807,"URTH","2022-12-20","103.1435","104.0390","103.0197","103.6103","308900"
1470778,"URTH","2022-12-19","104.2772","104.2962","102.9435","103.3531","1266100"
1470749,"URTH","2022-12-16","104.5153","104.8297","103.5341","104.0962","437000"
1470720,"URTH","2022-12-15","106.6207","106.6969","104.8393","105.2013","303100"
1470691,"URTH","2022-12-14","108.4974","109.3072","107.1732","107.9639","276500"
1470662,"URTH","2022-12-13","110.5456","110.5456","107.8210","108.4688","366800"
1470633,"URTH","2022-12-12","106.5042","107.4121","106.2583","107.3742","455800"
1470604,"URTH","2022-12-09","106.6839","107.3269","106.2489","106.2961","408300"
1470575,"URTH","2022-12-08","106.5042","107.0527","106.0503","106.8447","276200"
1470546,"URTH","2022-12-07","106.0597","106.6177","105.8233","106.0786","298800"
1470517,"URTH","2022-12-06","107.4215","107.6201","105.6720","106.2110","207300"
1470488,"URTH","2022-12-05","108.7361","108.9441","107.1567","107.4594","400800"
1470459,"URTH","2022-12-02","108.2254","109.6439","108.2254","109.4075","897300"
1470430,"URTH","2022-12-01","109.8614","110.0600","108.8968","109.5304","268300"
1470401,"URTH","2022-11-30","106.6177","109.1994","105.9557","109.1711","546300"
1470372,"URTH","2022-11-29","106.4853","106.8163","105.9084","106.3056","154900"
1470343,"URTH","2022-11-28","107.2324","107.6769","106.1827","106.4002","309800"
1470314,"URTH","2022-11-25","107.6863","108.1214","107.6863","107.9984","320500"
1470281,"URTH","2022-11-23","107.0243","107.9889","106.9865","107.8566","292000"
1470252,"URTH","2022-11-22","106.0881","107.0527","105.8422","107.0338","302300"
1470223,"URTH","2022-11-21","105.5396","105.7855","105.0573","105.5301","376300"
1470194,"URTH","2022-11-18","106.6082","106.6082","105.5018","106.1637","254100"
1470165,"URTH","2022-11-17","104.7074","105.8706","104.6601","105.7666","401600"
1470136,"URTH","2022-11-16","106.4285","106.6177","105.8611","106.0408","602600"
1470107,"URTH","2022-11-15","107.4877","107.7431","105.7193","106.7312","554600"
1470078,"URTH","2022-11-14","106.2489","106.9960","105.7571","105.8138","867700"
1470049,"URTH","2022-11-11","106.0408","107.1189","105.5112","106.8825","431400"
1470020,"URTH","2022-11-10","103.6577","105.5491","103.2132","105.4356","400400"
1469991,"URTH","2022-11-09","101.2934","101.5109","99.8370","99.9222","281600"
1469962,"URTH","2022-11-08","101.5677","102.6458","100.8868","101.8514","205100"
1469933,"URTH","2022-11-07","100.6787","101.3785","100.2059","101.1232","390500"
